comune,candidato,lista,voti
"LA MAGDELEINE","FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
"LA MAGDELEINE","NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",34
"LA MAGDELEINE","LARISA BARGAN",VITA,0
"LA SALLE","GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",11
"LA SALLE","PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",303
"LA SALLE","DARIA PULZ","VALLE D'AOSTA APERTA",67
"LA SALLE","ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",18
"LA SALLE","FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",13
"LA SALLE","NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",300
"LA SALLE","LARISA BARGAN",VITA,12
"LA THUILE","GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",10
"LA THUILE","PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",102
"LA THUILE","DARIA PULZ","VALLE D'AOSTA APERTA",19
"LA THUILE","ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",7
"LA THUILE","FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",5
"LA THUILE","NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",178
"LA THUILE","LARISA BARGAN",VITA,1
LILLIANES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
LILLIANES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",57
LILLIANES,"DARIA PULZ","VALLE D'AOSTA APERTA",9
LILLIANES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",3
LILLIANES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",5
LILLIANES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",51
LILLIANES,"LARISA BARGAN",VITA,4
MONTJOVET,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",19
MONTJOVET,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",268
MONTJOVET,"DARIA PULZ","VALLE D'AOSTA APERTA",60
MONTJOVET,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",25
MONTJOVET,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",18
MONTJOVET,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",267
MONTJOVET,"LARISA BARGAN",VITA,13
MORGEX,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",25
MORGEX,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",304
MORGEX,"DARIA PULZ","VALLE D'AOSTA APERTA",81
MORGEX,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",24
MORGEX,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",15
MORGEX,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",364
MORGEX,"LARISA BARGAN",VITA,24
NUS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",19
NUS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",429
NUS,"DARIA PULZ","VALLE D'AOSTA APERTA",163
NUS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",38
NUS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",23
NUS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",459
NUS,"LARISA BARGAN",VITA,26
OLLOMONT,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
OLLOMONT,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",36
OLLOMONT,"DARIA PULZ","VALLE D'AOSTA APERTA",10
OLLOMONT,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",0
OLLOMONT,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
OLLOMONT,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",22
OLLOMONT,"LARISA BARGAN",VITA,0
OYACE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
OYACE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",25
OYACE,"DARIA PULZ","VALLE D'AOSTA APERTA",5
OYACE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
OYACE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
OYACE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",26
OYACE,"LARISA BARGAN",VITA,1
PERLOZ,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
PERLOZ,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",50
PERLOZ,"DARIA PULZ","VALLE D'AOSTA APERTA",20
PERLOZ,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",5
PERLOZ,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
PERLOZ,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",74
PERLOZ,"LARISA BARGAN",VITA,4
POLLEIN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",12
POLLEIN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",202
POLLEIN,"DARIA PULZ","VALLE D'AOSTA APERTA",80
POLLEIN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",22
POLLEIN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",12
POLLEIN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",227
POLLEIN,"LARISA BARGAN",VITA,14
PONTBOSET,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",4
PONTBOSET,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",20
PONTBOSET,"DARIA PULZ","VALLE D'AOSTA APERTA",12
PONTBOSET,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
PONTBOSET,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",5
PONTBOSET,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",21
PONTBOSET,"LARISA BARGAN",VITA,1
PONTEY,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
PONTEY,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",122
PONTEY,"DARIA PULZ","VALLE D'AOSTA APERTA",38
PONTEY,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",6
PONTEY,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",15
PONTEY,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",108
PONTEY,"LARISA BARGAN",VITA,10
PONT-SAINT-MARTIN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",47
PONT-SAINT-MARTIN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",490
PONT-SAINT-MARTIN,"DARIA PULZ","VALLE D'AOSTA APERTA",154
PONT-SAINT-MARTIN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",50
PONT-SAINT-MARTIN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",43
PONT-SAINT-MARTIN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",529
PONT-SAINT-MARTIN,"LARISA BARGAN",VITA,29
PRE'-SAINT-DIDIER,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",9
PRE'-SAINT-DIDIER,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",119
PRE'-SAINT-DIDIER,"DARIA PULZ","VALLE D'AOSTA APERTA",27
PRE'-SAINT-DIDIER,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",10
PRE'-SAINT-DIDIER,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",5
PRE'-SAINT-DIDIER,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",188
PRE'-SAINT-DIDIER,"LARISA BARGAN",VITA,1
QUART,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",22
QUART,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",553
QUART,"DARIA PULZ","VALLE D'AOSTA APERTA",220
QUART,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",43
QUART,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",31
QUART,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",549
QUART,"LARISA BARGAN",VITA,31
RHEMES-NOTRE-DAME,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
RHEMES-NOTRE-DAME,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",18
RHEMES-NOTRE-DAME,"DARIA PULZ","VALLE D'AOSTA APERTA",4
RHEMES-NOTRE-DAME,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",0
RHEMES-NOTRE-DAME,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",2
RHEMES-NOTRE-DAME,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",7
RHEMES-NOTRE-DAME,"LARISA BARGAN",VITA,0
RHEMES-SAINT-GEORGES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
RHEMES-SAINT-GEORGES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",32
RHEMES-SAINT-GEORGES,"DARIA PULZ","VALLE D'AOSTA APERTA",3
RHEMES-SAINT-GEORGES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
RHEMES-SAINT-GEORGES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
RHEMES-SAINT-GEORGES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",11
RHEMES-SAINT-GEORGES,"LARISA BARGAN",VITA,0
ROISAN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
ROISAN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",188
ROISAN,"DARIA PULZ","VALLE D'AOSTA APERTA",57
ROISAN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",8
ROISAN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",6
ROISAN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",142
ROISAN,"LARISA BARGAN",VITA,10
SAINT-CHRISTOPHE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",26
SAINT-CHRISTOPHE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",649
SAINT-CHRISTOPHE,"DARIA PULZ","VALLE D'AOSTA APERTA",180
SAINT-CHRISTOPHE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",56
SAINT-CHRISTOPHE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",36
SAINT-CHRISTOPHE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",479
SAINT-CHRISTOPHE,"LARISA BARGAN",VITA,28
SAINT-DENIS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
SAINT-DENIS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",44
SAINT-DENIS,"DARIA PULZ","VALLE D'AOSTA APERTA",14
SAINT-DENIS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
SAINT-DENIS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",2
SAINT-DENIS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",72
SAINT-DENIS,"LARISA BARGAN",VITA,4
SAINT-MARCEL,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",12
SAINT-MARCEL,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",192
SAINT-MARCEL,"DARIA PULZ","VALLE D'AOSTA APERTA",71
SAINT-MARCEL,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",18
SAINT-MARCEL,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",9
SAINT-MARCEL,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",167
SAINT-MARCEL,"LARISA BARGAN",VITA,14
SAINT-NICOLAS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
SAINT-NICOLAS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",64
SAINT-NICOLAS,"DARIA PULZ","VALLE D'AOSTA APERTA",8
SAINT-NICOLAS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",7
SAINT-NICOLAS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
SAINT-NICOLAS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",47
SAINT-NICOLAS,"LARISA BARGAN",VITA,1
SAINT-OYEN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
SAINT-OYEN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",78
SAINT-OYEN,"DARIA PULZ","VALLE D'AOSTA APERTA",6
SAINT-OYEN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",1
SAINT-OYEN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
SAINT-OYEN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",30
SAINT-OYEN,"LARISA BARGAN",VITA,0
SAINT-PIERRE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",27
SAINT-PIERRE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",418
SAINT-PIERRE,"DARIA PULZ","VALLE D'AOSTA APERTA",138
SAINT-PIERRE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",58
SAINT-PIERRE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",32
SAINT-PIERRE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",499
SAINT-PIERRE,"LARISA BARGAN",VITA,24
SAINT-RHEMY-EN-BOSSES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
SAINT-RHEMY-EN-BOSSES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",94
SAINT-RHEMY-EN-BOSSES,"DARIA PULZ","VALLE D'AOSTA APERTA",6
SAINT-RHEMY-EN-BOSSES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
SAINT-RHEMY-EN-BOSSES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
SAINT-RHEMY-EN-BOSSES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",46
SAINT-RHEMY-EN-BOSSES,"LARISA BARGAN",VITA,0
SAINT-VINCENT,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",27
SAINT-VINCENT,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",505
SAINT-VINCENT,"DARIA PULZ","VALLE D'AOSTA APERTA",135
SAINT-VINCENT,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",64
SAINT-VINCENT,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",76
SAINT-VINCENT,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",729
SAINT-VINCENT,"LARISA BARGAN",VITA,41
SARRE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",40
SARRE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",750
SARRE,"DARIA PULZ","VALLE D'AOSTA APERTA",244
SARRE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",83
SARRE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",48
SARRE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",716
SARRE,"LARISA BARGAN",VITA,48
TORGNON,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
TORGNON,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",108
TORGNON,"DARIA PULZ","VALLE D'AOSTA APERTA",16
TORGNON,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",5
TORGNON,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
TORGNON,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",96
TORGNON,"LARISA BARGAN",VITA,2
VALGRISENCHE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
VALGRISENCHE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",45
VALGRISENCHE,"DARIA PULZ","VALLE D'AOSTA APERTA",6
VALGRISENCHE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",1
VALGRISENCHE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
VALGRISENCHE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",26
VALGRISENCHE,"LARISA BARGAN",VITA,0
VALPELLINE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",3
VALPELLINE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",94
VALPELLINE,"DARIA PULZ","VALLE D'AOSTA APERTA",73
VALPELLINE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",5
VALPELLINE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
VALPELLINE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",60
VALPELLINE,"LARISA BARGAN",VITA,3
VALSAVARENCHE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
VALSAVARENCHE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",26
VALSAVARENCHE,"DARIA PULZ","VALLE D'AOSTA APERTA",5
VALSAVARENCHE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
VALSAVARENCHE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
VALSAVARENCHE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",15
VALSAVARENCHE,"LARISA BARGAN",VITA,0
VALTOURNENCHE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",13
VALTOURNENCHE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",174
VALTOURNENCHE,"DARIA PULZ","VALLE D'AOSTA APERTA",50
VALTOURNENCHE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",17
VALTOURNENCHE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",22
VALTOURNENCHE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",434
VALTOURNENCHE,"LARISA BARGAN",VITA,13
VERRAYES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",11
VERRAYES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",258
VERRAYES,"DARIA PULZ","VALLE D'AOSTA APERTA",44
VERRAYES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",11
VERRAYES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",7
VERRAYES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",192
VERRAYES,"LARISA BARGAN",VITA,10
VERRES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",26
VERRES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",330
VERRES,"DARIA PULZ","VALLE D'AOSTA APERTA",115
VERRES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",31
VERRES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",37
VERRES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",382
VERRES,"LARISA BARGAN",VITA,13
VILLENEUVE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",10
VILLENEUVE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",173
VILLENEUVE,"DARIA PULZ","VALLE D'AOSTA APERTA",48
VILLENEUVE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",13
VILLENEUVE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",14
VILLENEUVE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",175
VILLENEUVE,"LARISA BARGAN",VITA,8
ALLEIN,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",9
ANTEY-SAINT-ANDRE',"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",39
AOSTA,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",1749
ARNAD,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",97
ARVIER,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",62
AVISE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",13
AYAS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",91
AYMAVILLES,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",122
BARD,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",7
BIONAZ,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",19
BRISSOGNE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",52
BRUSSON,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",112
CHALLAND-SAINT-ANSELME,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",68
CHALLAND-SAINT-VICTOR,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",39
CHAMBAVE,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",35
CHAMOIS,"AUGUSTO ROLLANDIN","POUR L’AUTONOMIE – PER L’AUTONOMIA",11
